sender,subject,body,classification
admin@secure-paypal.com,URGENT: Verify your account,Click here to login and verify your account now!,Phishing
support@amazon.com,Your order has been shipped,Thank you for shopping with us.,Safe
login@bank-secure.com,Important account update,We noticed suspicious activity. Click to resolve.,Phishing
newsletter@news.com,Weekly newsletter,Here is your weekly news summary.,Safe
alerts@secure-login.com,Verify your credentials,Login now to prevent lockout.,Phishing
events@eventbrite.com,You're invited!,Join us for our upcoming event.,Safe
verify@paypal.com,Update required,Click here to verify your PayPal information.,Phishing
team@company.com,Team meeting schedule,Please confirm your availability.,Safe
admin@secure-access.net,Security notice,Login and change your password immediately.,Phishing
no-reply@github.com,New login detected,We detected a login from a new device.,Suspicious
it-support@company.com,System maintenance,Scheduled maintenance this weekend.,Safe
accounts@mybank.com,Suspicious login attempt,Please click here to verify.,Suspicious
contact@trustedsource.com,Update your preferences,You can manage your settings anytime.,Suspicious
security@amaz0n.com,Your account is on hold,Verify your account to restore access.,Suspicious
admin@unknown-domain.xyz,URGENT: Action Required,Login now to avoid suspension.,Phishing
feedback@survey.com,We value your feedback,Complete this short survey.,Safe
billing@fakebank.com,Account alert,Click to secure your banking information.,Safe
offers@shop.com,Big Sale Today,Don't miss our best deals.,Safe
notice@secure.com,Verify to continue,Please login to avoid restriction.,Phishing
welcome@service.com,Welcome aboard!,We're excited to have you with us.,Safe
jhorton@thebakercompanies.com,Your receipt from Amazon,>THE DAILY TOP 10 >from CNN.com >Top,Suspicious
orn|dent_1973@musicaedischi.it,Meeting agenda for Monday,Do Not consolidate your debt Eliminate it! Legally ELIMINATE your creditT card ,Phishing
team@google.com,Your order has been delivered,Your password has been updated per request.,Safe
update@bank-alerts.com,URGENT: Update Required,Login to resolve your payment issue.,Phishing
info@secureaccess.net,Unusual login attempt,Click the link below to confirm your access.,Suspicious
hello@github.com,Password changed successfully,Your password has been updated per request.,Safe
update@bank-alerts.com,Your payment failed,Reset your credentials using this link.,Phishing
alert@account-verify.net,URGENT: Update Required,Confirm your personal details or be locked out.,Phishing
team@amazon-support.net,Check your activity,Unusual activity has been detected recently.,Suspicious
info@freemoneyprizes.com,Account locked – take action,Your account is at risk. Act now.,Phishing
alert@account-verify.net,Your payment failed,Confirm your personal details or be locked out.,Phishing
notify@weird-domain.biz,Check your activity,Click the link below to confirm your access.,Suspicious
notify@weird-domain.biz,Security update available,Please verify your identity to continue.,Suspicious
team@amazon-support.net,Please verify your email,Click the link below to confirm your access.,Suspicious
update@accounts.com,Account access review,Your account may require verification.,Suspicious
orders@zara.com,Invoice attached,Your package has been delivered successfully.,Safe
team@google.com,Your order has been delivered,Join us for the upcoming webinar this Friday.,Safe
info@freemoneyprizes.com,Your payment failed,Confirm your personal details or be locked out.,Phishing
newsletter@medium.com,Weekly project update,No action is needed from your side.,Safe
support@random-site.net,Account access review,Unusual activity has been detected recently.,Suspicious
newsletter@medium.com,Password changed successfully,Your password has been updated per request.,Safe
newsletter@medium.com,Weekly project update,Your package has been delivered successfully.,Safe
team@google.com,Password changed successfully,Your password has been updated per request.,Safe
newsletter@medium.com,Weekly project update,Your password has been updated per request.,Safe
alert@account-verify.net,Verify Your Account Now,Confirm your personal details or be locked out.,Phishing
info@freemoneyprizes.com,Verify Your Account Now,Click here to verify your account immediately.,Phishing
hello@github.com,Weekly project update,Your password has been updated per request.,Safe
team@google.com,Weekly project update,Attached is your monthly invoice. Thank you.,Safe
verify@secure-paypal.com,Account locked – take action,Login to resolve your payment issue.,Phishing
info@secureaccess.net,Security update available,We noticed a login attempt from a new device.,Suspicious
update@bank-alerts.com,Limited time offer – claim now!,Reset your credentials using this link.,Phishing
notify@weird-domain.biz,Unusual login attempt,Unusual activity has been detected recently.,Suspicious
notify@weird-domain.biz,Security update available,Click the link below to confirm your access.,Suspicious
update@bank-alerts.com,Limited time offer – claim now!,Confirm your personal details or be locked out.,Phishing
info@secureaccess.net,Unusual login attempt,Unusual activity has been detected recently.,Suspicious
notify@weird-domain.biz,Unusual login attempt,Click the link below to confirm your access.,Suspicious
newsletter@medium.com,Invoice attached,Attached is your monthly invoice. Thank you.,Safe
update@accounts.com,Security update available,Please verify your identity to continue.,Suspicious
notify@weird-domain.biz,Please verify your email,Click the link below to confirm your access.,Suspicious
update@accounts.com,Security update available,Click the link below to confirm your access.,Suspicious
verify@secure-paypal.com,Limited time offer – claim now!,Reset your credentials using this link.,Phishing
verify@secure-paypal.com,URGENT: Update Required,Login to resolve your payment issue.,Phishing
orders@zara.com,Password changed successfully,No action is needed from your side.,Safe
newsletter@medium.com,Your order has been delivered,Attached is your monthly invoice. Thank you.,Safe
team@google.com,Weekly project update,Your password has been updated per request.,Safe
verify@secure-paypal.com,Your payment failed,Confirm your personal details or be locked out.,Phishing
alert@account-verify.net,Your payment failed,Login to resolve your payment issue.,Phishing
info@linkedin.com,Password changed successfully,Your password has been updated per request.,Safe
update@accounts.com,Unusual login attempt,Your account may require verification.,Suspicious
info@freemoneyprizes.com,Account locked – take action,Your account is at risk. Act now.,Phishing
team@google.com,Your order has been delivered,Your package has been delivered successfully.,Safe
team@amazon-support.net,Check your activity,Click the link below to confirm your access.,Suspicious
notify@weird-domain.biz,Unusual login attempt,Click the link below to confirm your access.,Suspicious
alert@account-verify.net,Account locked – take action,Confirm your personal details or be locked out.,Phishing
support@random-site.net,Account access review,Please verify your identity to continue.,Suspicious
orders@zara.com,Your order has been delivered,No action is needed from your side.,Safe
notify@weird-domain.biz,Account access review,Your account may require verification.,Suspicious
info@freemoneyprizes.com,Your payment failed,Your account is at risk. Act now.,Phishing
hello@github.com,Weekly project update,Your password has been updated per request.,Safe
alert@account-verify.net,Account locked – take action,Confirm your personal details or be locked out.,Phishing
newsletter@medium.com,Weekly project update,Your password has been updated per request.,Safe
info@freemoneyprizes.com,Your payment failed,Your account is at risk. Act now.,Phishing
hello@github.com,Password changed successfully,Your password has been updated per request.,Safe
update@bank-alerts.com,URGENT: Update Required,Reset your credentials using this link.,Phishing
info@linkedin.com,Invoice attached,Your password has been updated per request.,Safe
update@accounts.com,Unusual login attempt,Your account may require verification.,Suspicious
orders@zara.com,Password changed successfully,No action is needed from your side.,Safe
notify@weird-domain.biz,Check your activity,We noticed a login attempt from a new device.,Suspicious
verify@secure-paypal.com,URGENT: Update Required,Confirm your personal details or be locked out.,Phishing
verify@secure-paypal.com,Limited time offer – claim now!,Confirm your personal details or be locked out.,Phishing
newsletter@medium.com,Upcoming event reminder,Your package has been delivered successfully.,Safe
support@random-site.net,Please verify your email,Unusual activity has been detected recently.,Suspicious
update@bank-alerts.com,URGENT: Update Required,Login to resolve your payment issue.,Phishing
team@amazon-support.net,Unusual login attempt,Your account may require verification.,Suspicious
info@freemoneyprizes.com,Your payment failed,Reset your credentials using this link.,Phishing
update@bank-alerts.com,URGENT: Update Required,Click here to verify your account immediately.,Phishing
team@google.com,Your order has been delivered,Attached is your monthly invoice. Thank you.,Safe
orders@zara.com,Upcoming event reminder,No action is needed from your side.,Safe
support@random-site.net,Check your activity,Please verify your identity to continue.,Suspicious
